data;Nuovi casi;Deceduti;Dimessi / Guariti;Ricoverati
04/05/21;10;0;12;20
05/05/21;17;0;0;20
06/05/21;24;0;28;20
07/05/21;18;1;21;21
08/05/21;22;0;9;20
09/05/21;31;0;20;20
10/05/21;4;2;19;19
11/05/21;13;2;10;18
12/05/21;11;0;38;18
13/05/21;15;0;22;20
14/05/21;6;0;31;20
15/05/21;17;0;45;19
16/05/21;29;0;20;18
17/05/21;0;1;10;20
18/05/21;0;0;31;20
19/05/21;12;0;30;20
20/05/21;17;1;26;20
21/05/21;15;0;26;20
22/05/21;9;1;20;20
23/05/21;14;0;12;18
24/05/21;14;0;12;18
25/05/21;4;1;19;15
26/05/21;8;0;14;12
27/05/21;10;0;18;12
28/05/21;0;0;19;11
29/05/21;31;0;18;9
30/05/21;18;0;16;9
31/05/21;0;0;13;8
