Settimana del;0-9;ott-19;20-29;30-39;40-49;50-59;60-69;70-79;80-89;90;Settimanale_0-9;Settimanale_10-19;Settimanale_20-29;Settimanale_30-39;Settimanale_40-49;Settimanale_50-59;Settimanale_60-69;Settimanale_70-79;Settimanale_80-89;Settimanale_90
2020-03-20;0;0;0;0;0,857142857;2,857142857;3,285714286;3,285714286;1,714285714;0,285714286;;;;;;;;;;
2020-03-21;0;0;0;0;0,571428571;2,857142857;3;3;1,428571429;0,285714286;0,00;0,00;1,57;1,00;6,57;17,57;23,71;23,71;9,57;1,71
2020-03-22;0;0;0;0;0,428571429;2,142857143;2,142857143;2,142857143;1,142857143;0,142857143;;;;;;;;;;
2020-03-23;0;0;0;0,142857143;0,428571429;2,428571429;2,714285714;2,714285714;1,571428571;0,285714286;;;;;;;;;;
2020-03-24;0;0;0;0,142857143;0,142857143;2,428571429;2,142857143;2,142857143;1,857142857;0,285714286;;;;;;;;;;
2020-03-25;0;0;0;0,142857143;0,428571429;2,428571429;2,142857143;2,142857143;1,857142857;0,571428571;;;;;;;;;;
2020-03-26;0;0;0;0,285714286;0,571428571;2,142857143;2,285714286;2,285714286;1,857142857;0,714285714;;;;;;;;;;
2020-03-27;0;0;0;0,285714286;0,857142857;2,142857143;2,857142857;2,857142857;2,285714286;0,571428571;;;;;;;;;;
2020-03-28;0;0;0;0,428571429;1;2;3;3;3,285714286;0,857142857;0,00;0,00;1,14;1,43;3,86;15,71;17,29;17,29;13,86;3,43
2020-03-29;0;0;0;0,428571429;1,142857143;2;3;3;4,428571429;2;;;;;;;;;;
2020-03-30;0;0;0;0,285714286;1;1,571428571;2,142857143;2,142857143;3,857142857;1,857142857;;;;;;;;;;
2020-03-31;0;0;0;0,285714286;1;1,571428571;2,142857143;2,142857143;3,571428571;1,857142857;;;;;;;;;;
2020-04-01;0;0;0;0,285714286;0,714285714;1,571428571;2;2;3,428571429;1,857142857;;;;;;;;;;
2020-04-02;0;0;0;0,142857143;0,714285714;1,142857143;1,714285714;1,714285714;3;1,714285714;;;;;;;;;;
2020-04-03;0;0,142857143;0;0,142857143;0,428571429;1,142857143;1,285714286;1,285714286;2,714285714;1,714285714;;;;;;;;;;
2020-04-04;0;0,142857143;0;0;0,285714286;1,142857143;0,714285714;0,714285714;1,714285714;1,428571429;0,00;0,29;1,00;1,57;5,29;10,14;13,00;13,00;22,71;12,43
2020-04-05;0;0,142857143;0;0;0,142857143;0,857142857;0,428571429;0,428571429;0,428571429;0,285714286;;;;;;;;;;
2020-04-06;0;0,142857143;0;0;0,285714286;1,285714286;0,428571429;0,428571429;0,571428571;0,285714286;;;;;;;;;;
2020-04-07;0;0,142857143;0;0;0,285714286;1,142857143;0,428571429;0,428571429;0,571428571;0,285714286;;;;;;;;;;
2020-04-08;0;0,142857143;0;0;0,285714286;1,142857143;0,285714286;0,285714286;0,428571429;0;;;;;;;;;;
2020-04-09;0;0,142857143;0;0,142857143;0,142857143;1,285714286;0,428571429;0,428571429;0,285714286;0;;;;;;;;;;
2020-04-10;0;0;0;0,285714286;0,285714286;1,428571429;0,428571429;0,428571429;0,285714286;0;;;;;;;;;;
2020-04-11;0;0;0;0,285714286;0,285714286;1,285714286;0,571428571;0,571428571;0,285714286;0;0,00;0,71;2,29;0,71;1,71;8,43;3,00;3,00;2,86;0,86
2020-04-12;0;0;0;0,571428571;0,285714286;1,285714286;0,571428571;0,571428571;0,285714286;0;;;;;;;;;;
2020-04-13;0;0;0;0,571428571;0,142857143;1;0,714285714;0,714285714;0,285714286;0;;;;;;;;;;
2020-04-14;0;0;0;0,714285714;0,142857143;0,857142857;0,714285714;0,714285714;0,285714286;0;;;;;;;;;;
2020-04-15;0;0;0;0,714285714;0,285714286;0,714285714;0,714285714;0,714285714;0,285714286;0,142857143;;;;;;;;;;
2020-04-16;0;0;0;0,714285714;0,285714286;0,571428571;0,857142857;0,857142857;0,285714286;0,142857143;;;;;;;;;;
2020-04-17;0;0;0;0,571428571;0,142857143;0,142857143;0,714285714;0,714285714;0,285714286;0,285714286;;;;;;;;;;
2020-04-18;0;0;0;0,714285714;0,285714286;0,142857143;0,571428571;0,571428571;0,285714286;0,428571429;0,00;0,00;0,71;4,57;1,57;4,71;4,86;4,86;2,00;1,00
2020-04-19;0;0;0;0,428571429;0,285714286;0,285714286;0,571428571;0,571428571;0,285714286;0,428571429;;;;;;;;;;
2020-04-20;0;0;0;0,428571429;0,428571429;0,142857143;0,285714286;0,285714286;0,428571429;0,428571429;;;;;;;;;;
2020-04-21;0;0,142857143;0;0,285714286;0,428571429;0,285714286;0,285714286;0,285714286;0,428571429;0,428571429;;;;;;;;;;
2020-04-22;0;0,142857143;0;0,285714286;0,285714286;0,428571429;0,285714286;0,285714286;0,428571429;0,285714286;;;;;;;;;;
2020-04-23;0;0,142857143;0;0,142857143;0,285714286;0,428571429;0;0;0,428571429;0,285714286;;;;;;;;;;
2020-04-24;0;0,142857143;0;0,142857143;0,285714286;0,428571429;0;0;0,285714286;0,285714286;;;;;;;;;;
2020-04-25;0;0,142857143;0;0,142857143;0,142857143;0,428571429;0;0;0,285714286;0,142857143;0,00;0,71;1,00;1,86;2,14;2,43;1,43;1,43;2,57;2,29
2020-04-26;0;0,142857143;0;0,142857143;0,142857143;0,428571429;0;0;0,285714286;0,142857143;;;;;;;;;;
2020-04-27;0;0,142857143;0;0,142857143;0;0,428571429;0,142857143;0,142857143;0;0,142857143;;;;;;;;;;
2020-04-28;0;0;0;0,142857143;0;0,285714286;0,142857143;0,142857143;0;0,142857143;;;;;;;;;;
2020-04-29;0;0;0;0,142857143;0;0,142857143;0,142857143;0,142857143;0;0,142857143;;;;;;;;;;
2020-04-30;0;0;0;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;;;;;;;;;;
2020-05-01;0;0;0;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0;;;;;;;;;;
2020-05-02;0;0;0;0;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0;0,00;0,29;0,71;0,86;0,57;1,71;0,86;0,86;0,71;0,71
2020-05-03;0;0;0;0;0,142857143;0;0,142857143;0,142857143;0,142857143;0;;;;;;;;;;
2020-05-04;0;0;0;0;0,142857143;0,142857143;0;0;0,142857143;0;;;;;;;;;;
2020-05-05;0;0;0;0;0,142857143;0,142857143;0;0;0,142857143;0;;;;;;;;;;
2020-05-06;0;0;0;0;0,142857143;0,142857143;0;0;0,142857143;0;;;;;;;;;;
2020-05-07;0;0;0;0;0;0,142857143;0;0;0;0;;;;;;;;;;
2020-05-08;0;0;0;0;0;0,142857143;0;0;0;0;;;;;;;;;;
2020-05-09;0;0;0;0;0;0,142857143;0;0;0;0;0,00;0,00;0,00;0,00;0,57;0,86;0,14;0,14;0,57;0,00
2020-05-10;0;0;0;0;0;0,142857143;0;0;0;0;;;;;;;;;;
2020-05-11;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-05-12;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-05-13;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-05-14;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-05-15;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-05-16;0;0;0;0;0,142857143;0;0,142857143;0,142857143;0,142857143;0;0,00;0,00;0,00;0,00;0,14;0,14;0,86;0,86;0,14;0,00
2020-05-17;0;0;0;0;0,142857143;0;0,142857143;0,142857143;0,142857143;0;;;;;;;;;;
2020-05-18;0;0;0;0;0,142857143;0;0;0;0,142857143;0;;;;;;;;;;
2020-05-19;0;0;0;0;0,142857143;0;0;0;0,142857143;0;;;;;;;;;;
2020-05-20;0;0;0;0;0,142857143;0;0;0;0,142857143;0;;;;;;;;;;
2020-05-21;0;0;0;0;0,142857143;0;0;0;0,142857143;0;;;;;;;;;;
2020-05-22;0;0;0;0;0,142857143;0;0;0;0,142857143;0;;;;;;;;;;
2020-05-23;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,86;0,00;0,14;0,14;0,86;0,00
2020-05-24;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-05-25;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-05-26;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-05-27;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-05-28;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-05-29;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-05-30;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;0;0;0;0;0,142857143;0;0;0;0;0;;;;;;;;;;
2020-06-01;0;0;0;0;0,142857143;0;0;0;0;0;;;;;;;;;;
2020-06-02;0;0;0;0;0,142857143;0;0;0;0;0;;;;;;;;;;
2020-06-03;0;0;0;0;0,142857143;0;0;0;0;0;;;;;;;;;;
2020-06-04;0;0;0;0;0,142857143;0;0;0;0;0;;;;;;;;;;
2020-06-05;0;0;0;0;0,285714286;0;0;0;0;0;;;;;;;;;;
2020-06-06;0;0;0;0,142857143;0,285714286;0;0;0;0;0;0,00;0,00;2,00;0,14;1,29;0,00;0,00;0,00;0,00;0,00
2020-06-07;0;0;0;0,142857143;0,142857143;0;0;0;0;0;;;;;;;;;;
2020-06-08;0;0;0;0,142857143;0,142857143;0;0;0;0;0;;;;;;;;;;
2020-06-09;0;0;0;0,142857143;0,142857143;0;0;0;0;0;;;;;;;;;;
2020-06-10;0;0;0;0,285714286;0,142857143;0;0;0;0;0;;;;;;;;;;
2020-06-11;0;0;0;0,285714286;0,142857143;0;0;0;0;0;;;;;;;;;;
2020-06-12;0;0;0;0,285714286;0;0;0;0;0;0;;;;;;;;;;
2020-06-13;0;0;0;0,142857143;0;0;0;0;0;0;0,00;0,00;0,00;1,43;0,71;0,00;0,00;0,00;0,00;0,00
2020-06-14;0;0;0;0,142857143;0;0;0;0;0;0;;;;;;;;;;
2020-06-15;0;0;0;0,142857143;0;0;0;0;0;0;;;;;;;;;;
2020-06-16;0;0;0;0,142857143;0;0;0;0;0;0;;;;;;;;;;
2020-06-17;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-06-18;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-06-19;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-06-20;0;0;0;0;0;0;0,285714286;0,285714286;0;0;0,00;0,00;0,00;0,43;0,00;0,00;0,71;0,71;0,00;0,00
2020-06-21;0;0;0;0;0;0;0,285714286;0,285714286;0;0;;;;;;;;;;
2020-06-22;0;0;0;0;0;0;0,285714286;0,285714286;0;0;;;;;;;;;;
2020-06-23;0;0;0;0;0;0;0,285714286;0,285714286;0;0;;;;;;;;;;
2020-06-24;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-06-25;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-06-26;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-06-27;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;1,29;1,29;0,00;0,00
2020-06-28;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-06-29;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-06-30;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-01;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-07-02;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-07-03;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-07-04;0;0;0;0;0;0;0,142857143;0,142857143;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,57;0,57;0,00;0,00
2020-07-05;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-07-06;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-07-07;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-07-08;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-09;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-10;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-11;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,29;0,00;0,00;0,00;0,43;0,43;0,00;0,00
2020-07-12;0;0;0;0,142857143;0;0;0;0;0;0;;;;;;;;;;
2020-07-13;0;0;0;0,285714286;0;0;0;0;0;0;;;;;;;;;;
2020-07-14;0;0;0;0,285714286;0;0;0;0;0;0;;;;;;;;;;
2020-07-15;0;0;0;0,285714286;0;0;0;0;0;0;;;;;;;;;;
2020-07-16;0;0;0;0,285714286;0;0;0;0;0;0;;;;;;;;;;
2020-07-17;0;0;0;0,285714286;0;0;0;0;0;0;;;;;;;;;;
2020-07-18;0;0;0;0,285714286;0;0;0;0;0;0;0,00;0,00;0,71;1,86;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-19;0;0;0;0,142857143;0;0;0;0;0;0;;;;;;;;;;
2020-07-20;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-21;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-22;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-23;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-24;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-25;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-27;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-28;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-29;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-30;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-07-31;0;0;0;0;0;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-08-01;0;0;0;0,142857143;0;0;0,142857143;0,142857143;0;0;0,00;0,00;0,86;0,14;0,00;0,00;0,29;0,29;0,00;0,00
2020-08-02;0;0;0;0,142857143;0;0;0,285714286;0,285714286;0;0;;;;;;;;;;
2020-08-03;0;0;0;0,142857143;0;0;0,285714286;0,285714286;0;0;;;;;;;;;;
2020-08-04;0;0;0;0,142857143;0,142857143;0;0,285714286;0,285714286;0;0;;;;;;;;;;
2020-08-05;0;0;0;0,142857143;0,142857143;0;0,285714286;0,285714286;0;0;;;;;;;;;;
2020-08-06;0;0;0;0,142857143;0,142857143;0;0,285714286;0,285714286;0;0;;;;;;;;;;
2020-08-07;0;0;0;0,142857143;0,142857143;0;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-08-08;0;0;0;0,142857143;0,142857143;0,142857143;0,142857143;0,142857143;0;0;0,00;0,00;0,14;1,00;0,71;0,14;1,71;1,71;0,00;0,00
2020-08-09;0;0;0;0,142857143;0,142857143;0,142857143;0;0;0,142857143;0;;;;;;;;;;
2020-08-10;0;0;0;0,142857143;0,142857143;0,142857143;0;0;0,142857143;0;;;;;;;;;;
2020-08-11;0,142857143;0;0;0,142857143;0;0,142857143;0;0;0,142857143;0;;;;;;;;;;
2020-08-12;0,142857143;0;0;0,142857143;0,142857143;0,142857143;0;0;0,142857143;0;;;;;;;;;;
2020-08-13;0,142857143;0;0;0,142857143;0,285714286;0,142857143;0;0;0,142857143;0;;;;;;;;;;
2020-08-14;0,142857143;0;0;0,142857143;0,285714286;0,142857143;0;0;0,142857143;0;;;;;;;;;;
2020-08-15;0,142857143;0,142857143;0;0;0,285714286;0;0;0;0,142857143;0;0,71;0,14;0,00;0,86;1,29;0,86;0,00;0,00;1,00;0,00
2020-08-16;0,142857143;0,142857143;0;0;0,285714286;0;0;0;0;0;;;;;;;;;;
2020-08-17;0,142857143;0,142857143;0;0;0,285714286;0;0;0;0;0;;;;;;;;;;
2020-08-18;0;0,142857143;0;0;0,285714286;0;0;0;0;0;;;;;;;;;;
2020-08-19;0;0,142857143;0;0;0,142857143;0;0;0;0;0;;;;;;;;;;
2020-08-20;0;0,142857143;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-08-21;0;0,142857143;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-08-22;0;0;0;0;0;0;0;0;0;0;0,29;0,86;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2020-08-23;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-08-24;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;
2020-08-25;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;
2020-08-26;0;0,285714286;0;0;0;0,285714286;0;0;0;0;;;;;;;;;;
2020-08-27;0;0,285714286;0;0;0;0,285714286;0;0;0;0;;;;;;;;;;
2020-08-28;0;0,285714286;0;0;0;0,285714286;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-08-29;0;0,285714286;0;0;0;0,285714286;0,142857143;0,142857143;0;0;0,00;1,14;2,71;0,00;0,00;1,14;0,29;0,29;0,00;0,00
2020-08-30;0;0,285714286;0;0;0;0,428571429;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-08-31;0;0,285714286;0;0;0;0,714285714;0,142857143;0,142857143;0;0;;;;;;;;;;
2020-09-01;0;0,285714286;0;0;0,285714286;0,857142857;0,285714286;0,285714286;0;0;;;;;;;;;;
2020-09-02;0;0;0;0;0,428571429;0,571428571;0,428571429;0,428571429;0;0;;;;;;;;;;
2020-09-03;0;0;0;0;0,428571429;0,571428571;0,571428571;0,571428571;0;0;;;;;;;;;;
2020-09-04;0;0;0;0;0,428571429;0,714285714;0,428571429;0,428571429;0;0;;;;;;;;;;
2020-09-05;0;0;0;0;0,428571429;0,857142857;0,428571429;0,428571429;0,285714286;0;0,00;0,86;0,71;0,00;2,00;4,71;2,43;2,43;0,29;0,00
2020-09-06;0;0;0;0;0,428571429;0,714285714;0,428571429;0,428571429;0,285714286;0;;;;;;;;;;
2020-09-07;0;0;0;0;0,428571429;0,428571429;0,428571429;0,428571429;0,285714286;0;;;;;;;;;;
2020-09-08;0;0;0;0;0,142857143;0,428571429;0,428571429;0,428571429;0,285714286;0;;;;;;;;;;
2020-09-09;0;0;0;0;0;0,428571429;0,285714286;0,285714286;0,285714286;0;;;;;;;;;;
2020-09-10;0;0;0;0;0;0,428571429;0,142857143;0,142857143;0,285714286;0;;;;;;;;;;
2020-09-11;0;0;0;0;0;0,285714286;0,142857143;0,142857143;0,428571429;0;;;;;;;;;;
2020-09-12;0;0;0;0;0;0,142857143;0,142857143;0,142857143;0,142857143;0;0,00;0,00;1,29;0,00;1,00;2,86;2,00;2,00;2,00;0,00
2020-09-13;0;0;0;0;0;0,142857143;0,142857143;0,142857143;0,142857143;0;;;;;;;;;;
2020-09-14;0;0;1;0;0;0,142857143;0,142857143;0,142857143;0,142857143;0;;;;;;;;;;
2020-09-15;0;0;1;0;0;0;0,571428571;0,571428571;0,142857143;0;;;;;;;;;;
2020-09-16;0;0;1;0;0,142857143;0;0,714285714;0,714285714;0,142857143;0,142857143;;;;;;;;;;
2020-09-17;0;0;0;0;0,142857143;0;0,857142857;0,857142857;0,142857143;0,142857143;;;;;;;;;;
2020-09-18;0;0;0;0;0,142857143;0;0,857142857;0,857142857;0;0,142857143;;;;;;;;;;
2020-09-19;0;0;0;0;0,285714286;0,142857143;0,857142857;0,857142857;0;0,142857143;0,00;0,00;3,29;0,00;0,71;0,43;4,14;4,14;0,71;0,57
2020-09-20;0;0;0;0;0,285714286;0,142857143;0,857142857;0,857142857;0;0,142857143;;;;;;;;;;
2020-09-21;0;0;0;0;0,285714286;0,142857143;0,857142857;0,857142857;0,142857143;0,142857143;;;;;;;;;;
2020-09-22;0;0;0;0;0,428571429;0,428571429;0,285714286;0,285714286;0,142857143;0,142857143;;;;;;;;;;
2020-09-23;0;0;0;0;0,428571429;0,571428571;0,142857143;0,142857143;0,142857143;0;;;;;;;;;;
2020-09-24;0;0;0;0,142857143;0,428571429;0,571428571;0,142857143;0,142857143;0,142857143;0;;;;;;;;;;
2020-09-25;0;0;0;0,142857143;0,428571429;0,857142857;0,142857143;0,142857143;0,142857143;0;;;;;;;;;;
2020-09-26;0;0;0;0,142857143;0,285714286;0,857142857;0,142857143;0,142857143;0,142857143;0;0,00;0,00;1,00;0,43;2,57;3,57;2,57;2,57;0,86;0,43
2020-09-27;0;0;0;0,142857143;0,285714286;1;0,142857143;0,142857143;0,142857143;0;;;;;;;;;;
2020-09-28;0;0;0;0,142857143;0,285714286;1;0,142857143;0,142857143;0,142857143;0;;;;;;;;;;
2020-09-29;0;0;0;0,142857143;0,142857143;0,714285714;0,142857143;0,142857143;0,142857143;0;;;;;;;;;;
2020-09-30;0;0;0;0,142857143;0,142857143;0,714285714;0,142857143;0,142857143;0,142857143;0;;;;;;;;;;
2020-10-01;0;0;0;0;0,428571429;0,857142857;0;0;0,142857143;0,142857143;;;;;;;;;;
2020-10-02;0;0;0;0;0,428571429;0,571428571;0,285714286;0,285714286;0,142857143;0,142857143;;;;;;;;;;
2020-10-03;0;0;0;0;0,428571429;0,714285714;0,285714286;0,285714286;0,142857143;0,142857143;0,00;0,00;1,14;0,57;2,14;5,57;1,14;1,14;1,00;0,43
2020-10-04;0;0;0;0,142857143;0,571428571;0,571428571;0,428571429;0,428571429;0,142857143;0,142857143;;;;;;;;;;
2020-10-05;0;0;0;0,142857143;0,571428571;0,571428571;0,428571429;0,428571429;0;0,142857143;;;;;;;;;;
2020-10-06;0;0;0;0,142857143;0,571428571;1;0,571428571;0,571428571;0;0,142857143;;;;;;;;;;
2020-10-07;0;0;0;0,142857143;0,428571429;0,857142857;0,571428571;0,571428571;0;0,142857143;;;;;;;;;;
2020-10-08;0;0;0;0,142857143;0,142857143;1,142857143;0,714285714;0,714285714;0;0;;;;;;;;;;
2020-10-09;0;0;0;0,285714286;0,285714286;1,142857143;0,571428571;0,571428571;0;0;;;;;;;;;;
2020-10-10;0;0;0;0,285714286;0,285714286;1,428571429;1;1;0,285714286;0;0,00;0,00;0,86;1,29;2,86;6,71;4,29;4,29;0,43;0,57
2020-10-11;0;0;0;0,142857143;0,571428571;1,714285714;1;1;0,428571429;0;;;;;;;;;;
2020-10-12;0,142857143;0;0;0,142857143;0,571428571;2;1;1;0,857142857;0;;;;;;;;;;
2020-10-13;0,142857143;0;0;0,142857143;0,571428571;1,571428571;1,571428571;1,571428571;1;0,142857143;;;;;;;;;;
2020-10-14;0,142857143;0;0;0,142857143;0,571428571;1,857142857;1,571428571;1,571428571;1,142857143;0,285714286;;;;;;;;;;
2020-10-15;0,142857143;0;0;0,285714286;0,571428571;1,428571429;1,428571429;1,428571429;1,285714286;0,285714286;;;;;;;;;;
2020-10-16;0,142857143;0;0;0,428571429;0,428571429;1,571428571;2,285714286;2,285714286;1,714285714;0,285714286;;;;;;;;;;
2020-10-17;0,142857143;0;0;0,428571429;0,571428571;1,142857143;2,285714286;2,285714286;1,857142857;0,285714286;0,86;0,00;1,14;1,71;3,86;11,29;11,14;11,14;8,29;1,29
2020-10-18;0,285714286;0;0;0,857142857;0,428571429;1;2,428571429;2,428571429;2,142857143;0,285714286;;;;;;;;;;
2020-10-19;0,142857143;0;0;1,142857143;0,571428571;0,857142857;3;3;2;0,285714286;;;;;;;;;;
2020-10-20;0,142857143;0;0;1,142857143;0,571428571;1,285714286;2,571428571;2,571428571;2,285714286;0,285714286;;;;;;;;;;
2020-10-21;0,142857143;0;1;1,285714286;1;1,285714286;3;3;2,285714286;0,142857143;;;;;;;;;;
2020-10-22;0,142857143;0;1;1,428571429;1,285714286;1,714285714;3,428571429;3,428571429;2,571428571;0,142857143;;;;;;;;;;
2020-10-23;0,142857143;0,142857143;1;1,142857143;1,428571429;1,571428571;3,142857143;3,142857143;2,285714286;0,285714286;;;;;;;;;;
2020-10-24;0,142857143;0,142857143;0;1,285714286;1,428571429;2;3,428571429;3,428571429;2,142857143;0,428571429;1,14;0,29;3,57;8,29;6,71;9,71;21,00;21,00;15,71;1,86
2020-10-25;0;0,142857143;0;0,857142857;1,285714286;2;4;4;2;0,571428571;;;;;;;;;;
2020-10-26;0;0,142857143;0;0,571428571;1,571428571;2,571428571;3,714285714;3,714285714;2;0,714285714;;;;;;;;;;
2020-10-27;0;0,142857143;0;0,571428571;1,714285714;3,142857143;4,714285714;4,714285714;2,428571429;0,714285714;;;;;;;;;;
2020-10-28;0;0,142857143;0;0,714285714;1,428571429;3,428571429;4,571428571;4,571428571;2,571428571;0,857142857;;;;;;;;;;
2020-10-29;0;0,142857143;0;0,428571429;1,142857143;3,857142857;5,428571429;5,428571429;2,857142857;1;;;;;;;;;;
2020-10-30;0;0;0;0,571428571;1,285714286;4,571428571;5,142857143;5,142857143;2,714285714;1,142857143;;;;;;;;;;
